rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0127.jpg,50.8,0.8468,0.8487,0.875,0.8,9,7,False,True
2,frame_0000.jpg,0.0,0.8311,0.7372,0.875,1.0,9,7,False,True
3,frame_0075.jpg,30.0,0.7704,0.7068,0.75,0.96,7,6,False,True
4,frame_0031.jpg,12.4,0.762,0.824,0.5,1.0,9,4,False,True
5,frame_0074.jpg,29.6,0.7605,0.746,0.625,1.0,9,5,False,False
6,frame_0126.jpg,50.4,0.7584,0.8378,0.625,0.76,9,5,False,False
7,frame_0003.jpg,1.2,0.7507,0.7263,0.625,1.0,8,5,False,False
8,frame_0332.jpg,132.8,0.7471,0.8783,1.0,0.04,9,8,False,True
9,frame_0077.jpg,30.8,0.7431,0.7592,0.625,0.88,8,5,False,False
10,frame_0001.jpg,0.4,0.7409,0.5569,0.875,1.0,10,7,False,False
11,frame_0073.jpg,29.2,0.7336,0.7672,0.5,1.0,8,4,False,False
12,frame_0030.jpg,12.0,0.7334,0.6168,0.75,1.0,7,6,False,False
13,frame_0067.jpg,26.8,0.7268,0.6786,0.625,1.0,8,5,False,True
14,frame_0317.jpg,126.8,0.7252,0.8453,0.875,0.2,11,7,False,True
15,frame_0002.jpg,0.8,0.7244,0.8238,0.375,1.0,7,3,False,False
16,frame_0021.jpg,8.4,0.7187,0.6624,0.625,1.0,7,5,False,True
17,frame_0032.jpg,12.8,0.7169,0.8089,0.375,1.0,7,3,False,False
18,frame_0133.jpg,53.2,0.7136,0.5773,0.75,1.0,10,6,False,True
19,frame_0287.jpg,114.8,0.7124,0.8527,0.5,0.68,7,4,False,True
20,frame_0016.jpg,6.4,0.7096,0.6442,0.625,1.0,7,5,False,True
21,frame_0033.jpg,13.2,0.6966,0.6932,0.5,1.0,7,4,False,False
22,frame_0377.jpg,150.8,0.6865,0.8749,0.75,0.12,11,6,False,True
23,frame_0076.jpg,30.4,0.6828,0.6226,0.625,0.92,8,5,False,False
24,frame_0388.jpg,155.2,0.6796,0.7702,0.875,0.16,14,7,False,False
25,frame_0328.jpg,131.2,0.6792,0.8014,0.875,0.08,11,7,False,False
26,frame_0175.jpg,70.0,0.678,0.7939,0.75,0.28,9,6,False,False
27,frame_0389.jpg,155.6,0.6764,0.7799,0.875,0.12,12,7,False,False
28,frame_0288.jpg,115.2,0.6737,0.7594,0.5,0.72,9,4,False,False
29,frame_0004.jpg,1.6,0.6708,0.6417,0.5,1.0,7,4,False,False
30,frame_0007.jpg,2.8,0.6705,0.791,0.25,1.0,5,2,False,False
31,frame_0080.jpg,32.0,0.6691,0.6592,0.625,0.76,7,5,False,False
32,frame_0078.jpg,31.2,0.6668,0.6226,0.625,0.84,8,5,False,False
33,frame_0231.jpg,92.4,0.6657,0.8173,0.75,0.16,8,6,False,False
34,frame_0390.jpg,156.0,0.6651,0.7732,0.875,0.08,14,7,False,False
35,frame_0278.jpg,111.2,0.6642,0.8254,0.625,0.32,7,5,False,False
36,frame_0333.jpg,133.2,0.662,0.842,0.75,0.08,11,6,False,False
37,frame_0292.jpg,116.8,0.656,0.6919,0.5,0.8,8,4,False,False
38,frame_0117.jpg,46.8,0.6545,0.699,0.75,0.4,11,6,False,False
39,frame_0283.jpg,113.2,0.6539,0.7248,0.625,0.52,6,5,False,False
40,frame_0079.jpg,31.6,0.6513,0.6827,0.5,0.8,9,4,False,False
41,frame_0179.jpg,71.6,0.6512,0.6543,1.0,0.12,10,8,False,False
42,frame_0367.jpg,146.8,0.6501,0.8182,0.75,0.08,8,6,False,False
43,frame_0012.jpg,4.8,0.6469,0.5939,0.5,1.0,4,4,False,False
44,frame_0177.jpg,70.8,0.6457,0.6863,0.875,0.2,9,7,False,False
45,frame_0225.jpg,90.0,0.645,0.7329,0.875,0.08,8,7,False,False
46,frame_0109.jpg,43.6,0.6442,0.7314,0.875,0.08,11,7,False,False
47,frame_0368.jpg,147.2,0.6404,0.8149,0.75,0.04,10,6,False,False
48,frame_0396.jpg,158.4,0.6403,0.7666,0.75,0.16,12,6,False,False
49,frame_0276.jpg,110.4,0.6398,0.8085,0.625,0.24,9,5,False,False
50,frame_0128.jpg,51.2,0.6331,0.6301,0.5,0.84,8,4,False,False
51,frame_0316.jpg,126.4,0.6323,0.8256,0.625,0.16,10,5,False,False
52,frame_0071.jpg,28.4,0.6321,0.6392,0.375,1.0,7,3,False,False
53,frame_0315.jpg,126.0,0.6296,0.7612,0.75,0.12,9,6,False,False
54,frame_0014.jpg,5.6,0.6245,0.624,0.375,1.0,4,3,False,False
55,frame_0029.jpg,11.6,0.6234,0.5468,0.5,1.0,8,4,False,False
56,frame_0176.jpg,70.4,0.6216,0.8472,0.5,0.24,10,4,False,False
57,frame_0207.jpg,82.8,0.6195,0.619,0.5,0.8,4,4,False,False
58,frame_0277.jpg,110.8,0.6165,0.7459,0.625,0.28,7,5,False,False
59,frame_0114.jpg,45.6,0.6154,0.7438,0.625,0.28,6,5,False,False
